dataset,metric,type,value,layer,temperature
medmcqa_med,MCE,temp_sampling,0.13892900943756104,24.0,0.1
obqa,ACC,temp_sampling,0.7440000176429749,23.0,0.7
obqa,NLL,temp_sampling,0.6552068591117859,23.0,0.7
obqa,ECE,temp_sampling,0.02369260974228382,23.0,0.7
obqa,MCE,temp_sampling,0.2081124186515808,23.0,0.7
sciq,ACC,temp_sampling,0.8859999775886536,28.0,0.3
sciq,NLL,temp_sampling,0.2970695495605469,28.0,0.3
sciq,ECE,temp_sampling,0.016525238752365112,28.0,0.3
sciq,MCE,temp_sampling,0.1763467788696289,28.0,0.3
medmcqa_med,ACC,temp_sampling,0.5019999742507935,27.0,1.0
medmcqa_med,NLL,temp_sampling,1.1682900190353394,27.0,1.0
medmcqa_med,ECE,temp_sampling,0.0339716374874115,27.0,1.0
medmcqa_med,MCE,temp_sampling,0.055418968200683594,27.0,1.0
medmcqa_med,ACC,temp_sampling,0.492000013589859,31.0,0.3
medmcqa_med,NLL,temp_sampling,1.180250883102417,31.0,0.3
medmcqa_med,ECE,temp_sampling,0.06009955331683159,31.0,0.3
medmcqa_med,MCE,temp_sampling,0.1986370086669922,31.0,0.3
sciq,ACC,temp_sampling,0.8759999871253967,23.0,0.5
sciq,NLL,temp_sampling,0.3001572787761688,23.0,0.5
sciq,ECE,temp_sampling,0.02425413206219673,23.0,0.5
sciq,MCE,temp_sampling,0.105547696352005,23.0,0.5
sciq,ACC,temp_sampling,0.8840000033378601,26.0,0.1
sciq,NLL,temp_sampling,0.29677054286003113,26.0,0.1
sciq,ECE,temp_sampling,0.015633083879947662,26.0,0.1
sciq,MCE,temp_sampling,0.28517305850982666,26.0,0.1
obqa,ACC,temp_sampling,0.7279999852180481,24.0,1.0
obqa,NLL,temp_sampling,0.6773062348365784,24.0,1.0
obqa,ECE,temp_sampling,0.03634025901556015,24.0,1.0
obqa,MCE,temp_sampling,0.2979608476161957,24.0,1.0
medmcqa_med,ACC,temp_sampling,0.49799999594688416,25.0,0.3
medmcqa_med,NLL,temp_sampling,1.1708334684371948,25.0,0.3
medmcqa_med,ECE,temp_sampling,0.04308445379137993,25.0,0.3
medmcqa_med,MCE,temp_sampling,0.0857858657836914,25.0,0.3
obqa,ACC,temp_sampling,0.7360000014305115,28.0,0.1
obqa,NLL,temp_sampling,0.6525415778160095,28.0,0.1
obqa,ECE,temp_sampling,0.03217341750860214,28.0,0.1
obqa,MCE,temp_sampling,0.29087406396865845,28.0,0.1
obqa,ACC,temp_sampling,0.7440000176429749,30.0,1.0
obqa,NLL,temp_sampling,0.6517711281776428,30.0,1.0
obqa,ECE,temp_sampling,0.019707266241312027,30.0,1.0
obqa,MCE,temp_sampling,0.29012495279312134,30.0,1.0
sciq,ACC,temp_sampling,0.8859999775886536,28.0,0.7
sciq,NLL,temp_sampling,0.29884853959083557,28.0,0.7
sciq,ECE,temp_sampling,0.01707340031862259,28.0,0.7
sciq,MCE,temp_sampling,0.06804555654525757,28.0,0.7
medmcqa_med,ACC,temp_sampling,0.4880000054836273,22.0,1.0
medmcqa_med,NLL,temp_sampling,1.1889653205871582,22.0,1.0
medmcqa_med,ECE,temp_sampling,0.06254234910011292,22.0,1.0
medmcqa_med,MCE,temp_sampling,0.09486979246139526,22.0,1.0
obqa,ACC,temp_sampling,0.7480000257492065,26.0,0.7
obqa,NLL,temp_sampling,0.6430257558822632,26.0,0.7
obqa,ECE,temp_sampling,0.028580812737345695,26.0,0.7
obqa,MCE,temp_sampling,0.28183382749557495,26.0,0.7
obqa,ACC,temp_sampling,0.7400000095367432,23.0,0.3
obqa,NLL,temp_sampling,0.6600678563117981,23.0,0.3
obqa,ECE,temp_sampling,0.027158159762620926,23.0,0.3
obqa,MCE,temp_sampling,0.7120271921157837,23.0,0.3
medmcqa_med,ACC,temp_sampling,0.49000000953674316,25.0,0.7
medmcqa_med,NLL,temp_sampling,1.1774743795394897,25.0,0.7
medmcqa_med,ECE,temp_sampling,0.0506480447947979,25.0,0.7
medmcqa_med,MCE,temp_sampling,0.11588650941848755,25.0,0.7
obqa,ACC,temp_sampling,0.7379999756813049,28.0,0.5
obqa,NLL,temp_sampling,0.6522392630577087,28.0,0.5
obqa,ECE,temp_sampling,0.031120050698518753,28.0,0.5
obqa,MCE,temp_sampling,0.293079674243927,28.0,0.5
medmcqa_med,ACC,temp_sampling,0.47999998927116394,31.0,0.7
medmcqa_med,NLL,temp_sampling,1.1876068115234375,31.0,0.7
medmcqa_med,ECE,temp_sampling,0.06963780522346497,31.0,0.7
medmcqa_med,MCE,temp_sampling,0.23104232549667358,31.0,0.7
sciq,ACC,temp_sampling,0.8820000290870667,26.0,0.5
sciq,NLL,temp_sampling,0.2943635880947113,26.0,0.5
sciq,ECE,temp_sampling,0.02108711749315262,26.0,0.5
sciq,MCE,temp_sampling,0.33129414916038513,26.0,0.5
sciq,ACC,temp_sampling,0.878000020980835,23.0,0.1
sciq,NLL,temp_sampling,0.2986048460006714,23.0,0.1
sciq,ECE,temp_sampling,0.021211884915828705,23.0,0.1
sciq,MCE,temp_sampling,0.7220536470413208,23.0,0.1
obqa,ACC,temp_sampling,0.7419999837875366,30.0,0.7
obqa,NLL,temp_sampling,0.6523128747940063,30.0,0.7
obqa,ECE,temp_sampling,0.022286292165517807,30.0,0.7
obqa,MCE,temp_sampling,0.12072640657424927,30.0,0.7
medmcqa_med,ACC,temp_sampling,0.47600001096725464,29.0,0.5
medmcqa_med,NLL,temp_sampling,1.1767431497573853,29.0,0.5
medmcqa_med,ECE,temp_sampling,0.03529977798461914,29.0,0.5
medmcqa_med,MCE,temp_sampling,0.14768284559249878,29.0,0.5
obqa,ACC,temp_sampling,0.7360000014305115,24.0,0.7
obqa,NLL,temp_sampling,0.6745985150337219,24.0,0.7
obqa,ECE,temp_sampling,0.04082167521119118,24.0,0.7
obqa,MCE,temp_sampling,0.2980036735534668,24.0,0.7
sciq,ACC,temp_sampling,0.8880000114440918,30.0,0.5
sciq,NLL,temp_sampling,0.2973784804344177,30.0,0.5
sciq,ECE,temp_sampling,0.0167112834751606,30.0,0.5
sciq,MCE,temp_sampling,0.10947132110595703,30.0,0.5
medmcqa_med,ACC,temp_sampling,0.4880000054836273,22.0,0.3
medmcqa_med,NLL,temp_sampling,1.1754728555679321,22.0,0.3
medmcqa_med,ECE,temp_sampling,0.04917564615607262,22.0,0.3
medmcqa_med,MCE,temp_sampling,0.07693630456924438,22.0,0.3
medmcqa_med,ACC,temp_sampling,0.49399998784065247,27.0,0.7
medmcqa_med,NLL,temp_sampling,1.174912452697754,27.0,0.7
medmcqa_med,ECE,temp_sampling,0.053359683603048325,27.0,0.7
medmcqa_med,MCE,temp_sampling,0.07677218317985535,27.0,0.7
sciq,ACC,temp_sampling,0.8859999775886536,24.0,0.5
sciq,NLL,temp_sampling,0.29703375697135925,24.0,0.5
sciq,ECE,temp_sampling,0.01964348927140236,24.0,0.5
sciq,MCE,temp_sampling,0.26894888281822205,24.0,0.5
obqa,ACC,temp_sampling,0.734000027179718,23.0,1.0
obqa,NLL,temp_sampling,0.6777875423431396,23.0,1.0
obqa,ECE,temp_sampling,0.026559442281723022,23.0,1.0
obqa,MCE,temp_sampling,0.2943343222141266,23.0,1.0
medmcqa_med,ACC,temp_sampling,0.47600001096725464,29.0,0.1
medmcqa_med,NLL,temp_sampling,1.1770908832550049,29.0,0.1
medmcqa_med,ECE,temp_sampling,0.030559828504920006,29.0,0.1
medmcqa_med,MCE,temp_sampling,0.1391679048538208,29.0,0.1
medmcqa_med,ACC,temp_sampling,0.46000000834465027,31.0,1.0
medmcqa_med,NLL,temp_sampling,1.2138274908065796,31.0,1.0
medmcqa_med,ECE,temp_sampling,0.06246235594153404,31.0,1.0
medmcqa_med,MCE,temp_sampling,0.18343442678451538,31.0,1.0
obqa,ACC,temp_sampling,0.7379999756813049,24.0,0.3
obqa,NLL,temp_sampling,0.6705067753791809,24.0,0.3
obqa,ECE,temp_sampling,0.051650162786245346,24.0,0.3
obqa,MCE,temp_sampling,0.28005531430244446,24.0,0.3
medmcqa_med,ACC,temp_sampling,0.4959999918937683,25.0,1.0
medmcqa_med,NLL,temp_sampling,1.169820785522461,25.0,1.0
medmcqa_med,ECE,temp_sampling,0.0493144616484642,25.0,1.0
medmcqa_med,MCE,temp_sampling,0.09121829271316528,25.0,1.0
obqa,ACC,temp_sampling,0.7400000095367432,30.0,0.3
obqa,NLL,temp_sampling,0.6514164209365845,30.0,0.3
obqa,ECE,temp_sampling,0.028280336409807205,30.0,0.3
obqa,MCE,temp_sampling,0.28574979305267334,30.0,0.3
obqa,ACC,temp_sampling,0.7459999918937683,26.0,1.0
obqa,NLL,temp_sampling,0.6455344557762146,26.0,1.0
obqa,ECE,temp_sampling,0.036533422768116,26.0,1.0
obqa,MCE,temp_sampling,0.2859579026699066,26.0,1.0
sciq,ACC,temp_sampling,0.8840000033378601,24.0,0.1
sciq,NLL,temp_sampling,0.2943936884403229,24.0,0.1
sciq,ECE,temp_sampling,0.015533464029431343,24.0,0.1
sciq,MCE,temp_sampling,0.34610700607299805,24.0,0.1
sciq,ACC,temp_sampling,0.8859999775886536,28.0,1.0
sciq,NLL,temp_sampling,0.2999613285064697,28.0,1.0
